Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,USG%,_key,Salary_Millions,Expected_PER,Efficiency_Surplus,Surplus_Rank,PER_Rank,Salary_Rank,PVI,Salary_Tier,Value_Label,Player_display
43,Jalen Green,22,HOU,SG,82,82,32.9,7.4,17.5,0.423,2.9,8.1,0.354,4.6,9.5,0.482,0.505,3.3,4.1,0.813,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0,15.1,27.3,jalen green,12.483048,14.738614474319967,0.36,82,95,95,3.3966063416563004,Role Player (5-15M),Fair Value,Jalen Green
45,Darius Garland,25,CLE,PG,75,75,30.7,7.4,15.7,0.472,2.8,7.1,0.401,4.6,8.6,0.53,0.562,3.0,3.4,0.878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,19.9,27.2,darius garland,36.72567,18.83928436813625,1.06,63,32,21,1.28248170829831,Superstar (>=25M),Fair Value,Darius Garland
46,Jordan Poole,25,WAS,SG,68,68,29.4,6.7,15.5,0.432,3.5,9.1,0.378,3.3,6.4,0.51,0.544,3.6,4.0,0.883,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,20.5,16.6,29.0,jordan poole,29.651786,17.627208883600716,-1.03,121,72,40,1.5378500303489306,Superstar (>=25M),Fair Value,Jordan Poole
47,Coby White,24,CHI,SG,74,73,33.1,6.9,15.1,0.453,2.9,7.9,0.37,3.9,7.3,0.544,0.55,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,15.5,24.4,coby white,12.0,14.658432493632255,0.84,68,91,97,3.3249999999999997,Role Player (5-15M),Fair Value,Coby White
48,Miles Bridges,26,CHO,PF,64,64,31.7,7.3,17.0,0.431,2.2,7.0,0.313,5.1,10.0,0.513,0.495,3.5,4.0,0.87,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,20.3,17.7,28.0,miles bridges,27.173913,17.20566180473876,0.49,77,58,45,1.6817600026908162,Superstar (>=25M),Fair Value,Miles Bridges
49,Austin Reaves,26,LAL,SG,73,73,34.9,6.5,14.2,0.46,2.7,7.3,0.377,3.8,6.9,0.547,0.556,4.4,5.0,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,18.1,23.7,austin reaves,12.976362,14.820562073093813,3.28,33,52,90,3.221241824172291,Role Player (5-15M),Undervalued,Austin Reaves
50,Pascal Siakam,30,IND,PF,78,78,32.7,7.9,15.2,0.519,1.6,4.2,0.389,6.2,11.0,0.568,0.572,2.9,3.9,0.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2,19.2,24.2,pascal siakam,42.1764,19.781963832158944,-0.58,107,39,15,1.0290114850959304,Superstar (>=25M),Fair Value,Pascal Siakam
51,Kristaps Porzingis,29,BOS,C,42,42,28.8,6.6,13.7,0.483,2.5,6.0,0.412,4.1,7.7,0.537,0.572,3.8,4.7,0.809,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,22.3,25.9,kristaps porzingis,29.268293,17.561864669491722,4.74,20,10,42,1.6468333154926391,Superstar (>=25M),STEAL,Kristaps Porzingis
52,Scottie Barnes,23,TOR,PF,65,65,32.8,7.3,16.4,0.446,1.2,4.3,0.271,6.1,12.0,0.508,0.482,3.5,4.6,0.755,1.7,6.0,7.7,5.8,1.4,1.0,2.8,1.7,19.3,17.8,27.0,scottie barnes,10.13098,14.348752341207794,3.45,31,55,108,4.42207960138111,Role Player (5-15M),Undervalued,Scottie Barnes
53,Anfernee Simons,25,POR,SG,70,70,32.7,6.8,16.1,0.426,3.1,8.5,0.363,3.8,7.6,0.496,0.521,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3,14.9,24.6,anfernee simons,25.892857,16.988338027109176,-2.09,146,98,47,1.5255172497959573,Superstar (>=25M),Overpaid,Anfernee Simons
54,Desmond Bane,26,MEM,SG,69,68,32.0,7.1,14.8,0.484,2.4,6.1,0.392,4.8,8.7,0.548,0.565,2.6,2.9,0.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,17.9,23.3,desmond bane,34.00525,18.371640323749247,-0.47,100,54,32,1.2115776240433465,Superstar (>=25M),Fair Value,Desmond Bane
55,Domantas Sabonis,28,SAC,C,70,70,34.7,7.5,12.8,0.59,0.9,2.2,0.417,6.6,10.5,0.627,0.627,3.1,4.1,0.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,22.9,21.6,domantas sabonis,40.5,19.491229406029777,3.41,32,8,20,1.0987654320987654,Superstar (>=25M),Undervalued,Domantas Sabonis
56,Alperen Sengun,22,HOU,C,76,76,31.5,7.5,15.0,0.496,0.3,1.2,0.233,7.2,13.9,0.519,0.505,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,21.4,26.2,alperen sengun,5.424654,13.572909895915668,7.83,8,18,144,8.774753191632128,Role Player (5-15M),STEAL,Alperen Sengun
57,John Collins,27,UTA,PF,40,31,30.5,7.0,13.3,0.527,1.5,3.7,0.399,5.5,9.6,0.577,0.583,3.5,4.1,0.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,19.0,24.2,john collins,26.58,17.10485573395473,1.9,49,42,46,1.6252821670428896,Superstar (>=25M),Undervalued,John Collins
